sentence,word,label
Yaar tension mat lo and the deadline is tomorrow,Yaar,URD
Yaar tension mat lo and the deadline is tomorrow,tension,ENG
Yaar tension mat lo and the deadline is tomorrow,mat,URD
Yaar tension mat lo and the deadline is tomorrow,lo,URD
Yaar tension mat lo and the deadline is tomorrow,and,ENG
Yaar tension mat lo and the deadline is tomorrow,the,ENG
Yaar tension mat lo and the deadline is tomorrow,deadline,ENG
Yaar tension mat lo and the deadline is tomorrow,is,ENG
Yaar tension mat lo and the deadline is tomorrow,tomorrow,ENG
Ye traffic bilkul insane hai lekin I overslept again today,Ye,URD
Ye traffic bilkul insane hai lekin I overslept again today,traffic,ENG
Ye traffic bilkul insane hai lekin I overslept again today,bilkul,URD
Ye traffic bilkul insane hai lekin I overslept again today,insane,ENG
Ye traffic bilkul insane hai lekin I overslept again today,hai,URD
Ye traffic bilkul insane hai lekin I overslept again today,lekin,URD
Ye traffic bilkul insane hai lekin I overslept again today,I,ENG
Ye traffic bilkul insane hai lekin I overslept again today,overslept,ENG
Ye traffic bilkul insane hai lekin I overslept again today,again,ENG
Ye traffic bilkul insane hai lekin I overslept again today,today,ENG
Kal ka din bohot acha tha aur had 3 meetings back to back,Kal,URD
Kal ka din bohot acha tha aur had 3 meetings back to back,ka,URD
Kal ka din bohot acha tha aur had 3 meetings back to back,din,URD
Kal ka din bohot acha tha aur had 3 meetings back to back,bohot,URD
Kal ka din bohot acha tha aur had 3 meetings back to back,acha,URD
Kal ka din bohot acha tha aur had 3 meetings back to back,tha,URD
Kal ka din bohot acha tha aur had 3 meetings back to back,aur,URD
Kal ka din bohot acha tha aur had 3 meetings back to back,had,ENG
Kal ka din bohot acha tha aur had 3 meetings back to back,3,ENG
Kal ka din bohot acha tha aur had 3 meetings back to back,meetings,ENG
Kal ka din bohot acha tha aur had 3 meetings back to back,back,ENG
Kal ka din bohot acha tha aur had 3 meetings back to back,to,ENG
Kal ka din bohot acha tha aur had 3 meetings back to back,back,ENG
Sab kuch theek chal raha hai lekin I need a break honestly,Sab,URD
Sab kuch theek chal raha hai lekin I need a break honestly,kuch,URD
Sab kuch theek chal raha hai lekin I need a break honestly,theek,URD
Sab kuch theek chal raha hai lekin I need a break honestly,chal,URD
Sab kuch theek chal raha hai lekin I need a break honestly,raha,URD
Sab kuch theek chal raha hai lekin I need a break honestly,hai,URD
Sab kuch theek chal raha hai lekin I need a break honestly,lekin,URD
Sab kuch theek chal raha hai lekin I need a break honestly,I,ENG
Sab kuch theek chal raha hai lekin I need a break honestly,need,ENG
Sab kuch theek chal raha hai lekin I need a break honestly,a,ENG
Sab kuch theek chal raha hai lekin I need a break honestly,break,ENG
Sab kuch theek chal raha hai lekin I need a break honestly,honestly,ENG
Kal raat neend hi nahi aayi phir can we reschedule the call,Kal,URD
Kal raat neend hi nahi aayi phir can we reschedule the call,raat,URD
Kal raat neend hi nahi aayi phir can we reschedule the call,neend,URD
Kal raat neend hi nahi aayi phir can we reschedule the call,hi,URD
Kal raat neend hi nahi aayi phir can we reschedule the call,nahi,URD
Kal raat neend hi nahi aayi phir can we reschedule the call,aayi,URD
Kal raat neend hi nahi aayi phir can we reschedule the call,phir,URD
Kal raat neend hi nahi aayi phir can we reschedule the call,can,ENG
Kal raat neend hi nahi aayi phir can we reschedule the call,we,ENG
Kal raat neend hi nahi aayi phir can we reschedule the call,reschedule,ENG
Kal raat neend hi nahi aayi phir can we reschedule the call,the,ENG
Kal raat neend hi nahi aayi phir can we reschedule the call,call,ENG
"Yaar kuch samajh nahi aa raha, still not prepared at all",Yaar,URD
"Yaar kuch samajh nahi aa raha, still not prepared at all",kuch,URD
"Yaar kuch samajh nahi aa raha, still not prepared at all",samajh,URD
"Yaar kuch samajh nahi aa raha, still not prepared at all",nahi,URD
"Yaar kuch samajh nahi aa raha, still not prepared at all",aa,URD
"Yaar kuch samajh nahi aa raha, still not prepared at all",raha,URD
"Yaar kuch samajh nahi aa raha, still not prepared at all",still,ENG
"Yaar kuch samajh nahi aa raha, still not prepared at all",not,ENG
"Yaar kuch samajh nahi aa raha, still not prepared at all",prepared,ENG
"Yaar kuch samajh nahi aa raha, still not prepared at all",at,ENG
"Yaar kuch samajh nahi aa raha, still not prepared at all",all,ENG
Ye traffic bilkul insane hai but this project is due Friday,Ye,URD
Ye traffic bilkul insane hai but this project is due Friday,traffic,ENG
Ye traffic bilkul insane hai but this project is due Friday,bilkul,URD
Ye traffic bilkul insane hai but this project is due Friday,insane,ENG
Ye traffic bilkul insane hai but this project is due Friday,hai,URD
Ye traffic bilkul insane hai but this project is due Friday,but,ENG
Ye traffic bilkul insane hai but this project is due Friday,this,ENG
Ye traffic bilkul insane hai but this project is due Friday,project,ENG
Ye traffic bilkul insane hai but this project is due Friday,is,ENG
Ye traffic bilkul insane hai but this project is due Friday,due,ENG
Ye traffic bilkul insane hai but this project is due Friday,Friday,ENG
"Mujhe bilkul time nahi mila, I have zero motivation today",Mujhe,URD
"Mujhe bilkul time nahi mila, I have zero motivation today",bilkul,URD
"Mujhe bilkul time nahi mila, I have zero motivation today",time,ENG
"Mujhe bilkul time nahi mila, I have zero motivation today",nahi,URD
"Mujhe bilkul time nahi mila, I have zero motivation today",mila,URD
"Mujhe bilkul time nahi mila, I have zero motivation today",I,ENG
"Mujhe bilkul time nahi mila, I have zero motivation today",have,ENG
"Mujhe bilkul time nahi mila, I have zero motivation today",zero,ENG
"Mujhe bilkul time nahi mila, I have zero motivation today",motivation,ENG
"Mujhe bilkul time nahi mila, I have zero motivation today",today,ENG
Ammi ne kaha ghar jaldi aa jao phir the deadline is tomorrow,Ammi,URD
Ammi ne kaha ghar jaldi aa jao phir the deadline is tomorrow,ne,URD
Ammi ne kaha ghar jaldi aa jao phir the deadline is tomorrow,kaha,URD
Ammi ne kaha ghar jaldi aa jao phir the deadline is tomorrow,ghar,URD
Ammi ne kaha ghar jaldi aa jao phir the deadline is tomorrow,jaldi,URD
Ammi ne kaha ghar jaldi aa jao phir the deadline is tomorrow,aa,URD
Ammi ne kaha ghar jaldi aa jao phir the deadline is tomorrow,jao,URD
Ammi ne kaha ghar jaldi aa jao phir the deadline is tomorrow,phir,URD
